libpam-sss:arm64	2.9.4-1.1ubuntu6.6
libpam-systemd:arm64	255.4-1ubuntu8.16
libpam0g:arm64	1.5.3-5ubuntu5.5
libpango-1.0-0:arm64	1.52.1+ds-1build1
libpangocairo-1.0-0:arm64	1.52.1+ds-1build1
libpangoft2-1.0-0:arm64	1.52.1+ds-1build1
libpangomm-2.48-1t64:arm64	2.52.0-1build1
libpangoxft-1.0-0:arm64	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1:arm64	1.1.29build1
libpaps0t64	0.6.8-7.2build1
libparted-fs-resize0t64:arm64	3.6-4build1
libparted2t64:arm64	3.6-4build1
libpath-utils1t64:arm64	0.6.2-2.1build1
libpcap0.8t64:arm64	1.10.4-4.1ubuntu3
libpcaudio0:arm64	1.2-2build3
libpci3:arm64	1:3.10.0-2build1
libpciaccess-dev:arm64	0.17-3ubuntu0.24.04.2
libpciaccess0:arm64	0.17-3ubuntu0.24.04.2
libpcre2-16-0:arm64	10.42-4ubuntu2.1
libpcre2-32-0:arm64	10.42-4ubuntu2.1
libpcre2-8-0:arm64	10.42-4ubuntu2.1
libpcre2-dev:arm64	10.42-4ubuntu2.1
libpcre2-posix3:arm64	10.42-4ubuntu2.1
libpcre3:arm64	2:8.39-15build1
libpcsclite1:arm64	2.0.3-1build1
libpeas-1.0-0:arm64	1.36.0-3build4
libpeas-common	1.36.0-3build4
libperl5.38t64:arm64	5.38.2-3.2ubuntu0.3
libpgm-5.3-0t64:arm64	5.3.128~dfsg-2.1build1
libphonenumber8:arm64	8.12.57+ds-4.2build3
libpipeline1:arm64	1.5.7-2
libpipewire-0.3-0t64:arm64	1.0.5-1ubuntu3.2
libpipewire-0.3-common	1.0.5-1ubuntu3.2
libpipewire-0.3-modules:arm64	1.0.5-1ubuntu3.2
libpixman-1-0:arm64	0.42.2-1build1
libpixman-1-dev:arm64	0.42.2-1build1
libpkcs11-helper1t64:arm64	1.29.0-2.1build2
libpkgconf3:arm64	1.8.1-2build1
libplacebo338:arm64	6.338.2-2build1
libplist-2.0-4:arm64	2.3.0-1~exp2build2
libplymouth5:arm64	24.004.60-1ubuntu7.2
libpmix2t64:arm64	5.0.1-4.1build1
libpng-dev:arm64	1.6.43-5ubuntu0.6
libpng16-16t64:arm64	1.6.43-5ubuntu0.6
libpocketsphinx3:arm64	0.8.0+real5prealpha+1-15ubuntu5
libpolkit-agent-1-0:arm64	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0:arm64	124-2ubuntu1.24.04.3
libpoppler-cpp0t64:arm64	24.02.0-1ubuntu9.9
libpoppler-glib8t64:arm64	24.02.0-1ubuntu9.9
libpoppler134:arm64	24.02.0-1ubuntu9.9
libpopt-dev:arm64	1.19+dfsg-1build1
libpopt0:arm64	1.19+dfsg-1build1
libportal-gtk3-1:arm64	0.7.1-5build5
libportal-gtk4-1:arm64	0.7.1-5build5
libportal1:arm64	0.7.1-5build5
libppd2:arm64	2:2.0.0-0ubuntu4.1
libppd2-common	2:2.0.0-0ubuntu4.1
libpq5:arm64	16.14-0ubuntu0.24.04.1
libproc2-0:arm64	2:4.0.4-4ubuntu3.2
libproj25:arm64	9.4.0-1build2
libprotobuf-c1:arm64	1.4.1-1ubuntu4
libprotobuf32t64:arm64	3.21.12-8.2ubuntu0.3
libproxy1-plugin-gsettings:arm64	0.5.4-4build1
libproxy1-plugin-networkmanager:arm64	0.5.4-4build1
libproxy1v5:arm64	0.5.4-4build1
libpsl5t64:arm64	0.21.2-1.1build1
libpthread-stubs0-dev:arm64	0.4-1build3
libpulse-mainloop-glib0:arm64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:arm64	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality1:arm64	1.4.5-3build1
libpython3-dev:arm64	3.12.3-0ubuntu2.1
libpython3-stdlib:arm64	3.12.3-0ubuntu2.1
libpython3.12-dev:arm64	3.12.3-1ubuntu0.17
libpython3.12-minimal:arm64	3.12.3-1ubuntu0.17
libpython3.12-stdlib:arm64	3.12.3-1ubuntu0.17
libpython3.12t64:arm64	3.12.3-1ubuntu0.17
libqhull-r8.0:arm64	2020.2-6build1
libqmi-glib5:arm64	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqpdf29t64:arm64	11.9.0-1.1ubuntu0.1
libqrencode4:arm64	4.1.1-1build2
libqrtr-glib0:arm64	1.2.2-1ubuntu4
libqt5core5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5network5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5opengl5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5test5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5widgets5t64:arm64	5.15.13+dfsg-1ubuntu1
librabbitmq4:arm64	0.11.0-1ubuntu0.1
libraptor2-0:arm64	2.0.16-3ubuntu0.1
libraqm0:arm64	0.10.1-1build1
librasqal3t64:arm64	0.9.33-2.1build1
librav1e0:arm64	0.7.1-2
libraw1394-11:arm64	2.1.2-2build3
libraw1394-dev:arm64	2.1.2-2build3
libraw23t64:arm64	0.21.2-2.1ubuntu0.24.04.2
librdf0t64:arm64	1.0.17-3.1ubuntu3
librdkafka1:arm64	2.3.0-1build2
librdmacm1t64:arm64	50.0-2ubuntu0.2
libreadline8t64:arm64	8.2-4build1
libref-array1t64:arm64	0.6.2-2.1build1
libreoffice-base-core	4:24.2.7-0ubuntu0.24.04.5
libreoffice-calc	4:24.2.7-0ubuntu0.24.04.5
libreoffice-common	4:24.2.7-0ubuntu0.24.04.5
libreoffice-core	4:24.2.7-0ubuntu0.24.04.5
libreoffice-draw	4:24.2.7-0ubuntu0.24.04.5
libreoffice-gnome	4:24.2.7-0ubuntu0.24.04.5
libreoffice-gtk3	4:24.2.7-0ubuntu0.24.04.5
libreoffice-impress	4:24.2.7-0ubuntu0.24.04.5
libreoffice-math	4:24.2.7-0ubuntu0.24.04.5
libreoffice-style-colibre	4:24.2.7-0ubuntu0.24.04.5
libreoffice-style-elementary	4:24.2.7-0ubuntu0.24.04.5
libreoffice-style-yaru	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-calc	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-common	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-draw	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-impress	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-math	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-writer	4:24.2.7-0ubuntu0.24.04.5
libreoffice-writer	4:24.2.7-0ubuntu0.24.04.5
librest-1.0-0:arm64	0.9.1-6build3
librevenge-0.0-0:arm64	0.0.5-3build1
librhash0:arm64	1.4.3-3build1
librhythmbox-core10:arm64	3.4.7-2ubuntu6
librist4:arm64	0.2.10+dfsg-2
libroc0.3:arm64	0.3.0+dfsg-7ubuntu2
librsvg2-2:arm64	2.58.0+dfsg-1build1
librsvg2-common:arm64	2.58.0+dfsg-1build1
librsync2t64:arm64	2.3.4-1.1ubuntu2
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2build7
librttopo1:arm64	1.1.0-3build2
librubberband2:arm64	3.3.0+dfsg-2build1
librygel-core-2.8-0:arm64	0.42.5-1ubuntu3
librygel-db-2.8-0:arm64	0.42.5-1ubuntu3
librygel-renderer-2.8-0:arm64	0.42.5-1ubuntu3
librygel-server-2.8-0:arm64	0.42.5-1ubuntu3
libsamplerate0:arm64	0.2.2-4build1
libsane-common	1.2.1-7build4
libsane-hpaio:arm64	3.23.12+dfsg0-0ubuntu5
libsane1:arm64	1.2.1-7build4
libsasl2-2:arm64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:arm64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:arm64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-gssapi-mit:arm64	2.1.28+dfsg1-5ubuntu3.1
libsbc1:arm64	2.0-1build1
libsctp1:arm64	1.0.19+dfsg-2build1
libsdl2-2.0-0:arm64	2.30.0+dfsg-1ubuntu3.1
libseat1:arm64	0.8.0-1
libseccomp2:arm64	2.5.5-1ubuntu3.1
libsecret-1-0:arm64	0.21.4-1build3
libsecret-common	0.21.4-1build3
libselinux1:arm64	3.5-2ubuntu2.1
libselinux1-dev:arm64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:arm64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:arm64	1:3.6.0-9build1
libsepol-dev:arm64	3.5-2build1
libsepol2:arm64	3.5-2build1
libserd-0-0:arm64	0.32.2-1
libsframe1:arm64	2.42-4ubuntu2.10
libsgutils2-1.46-2:arm64	1.46-3ubuntu4
libsharpyuv-dev:arm64	1.3.2-0.4build3
libsharpyuv0:arm64	1.3.2-0.4build3
libshine3:arm64	3.1.1-2build1
libshout3:arm64	2.4.6-1build2
libsidplay1v5:arm64	1.36.60-1build1
libsigc++-3.0-0:arm64	3.6.0-2
libslang2:arm64	2.3.3-3build2
libsm6:arm64	2:1.2.3-1build3
libsmartcols1:arm64	2.39.3-9ubuntu6.5
libsmbclient0:arm64	2:4.19.5+dfsg-4ubuntu9.6
libsnapd-glib-2-1:arm64	1.64-0ubuntu5
libsnappy1v5:arm64	1.1.10-1build1
libsndfile1:arm64	1.2.2-1ubuntu5.24.04.1
libsndio7.0:arm64	1.9.0-0.3build3
libsnmp-base	5.9.4+dfsg-1.1ubuntu3.2
libsnmp40t64:arm64	5.9.4+dfsg-1.1ubuntu3.2
libsocket++1:arm64	1.12.13+git20131030.5d039ba-1build1
libsodium23:arm64	1.0.18-1ubuntu0.24.04.1
libsonic0:arm64	0.2.0-13build1
libsord-0-0:arm64	0.16.16-2build1
libsoundtouch1:arm64	2.3.2+ds1-1build1
libsoup-2.4-1:arm64	2.74.3-6ubuntu1.7
libsoup-3.0-0:arm64	3.4.4-5ubuntu0.7
libsoup-3.0-common	3.4.4-5ubuntu0.7
libsoup2.4-common	2.74.3-6ubuntu1.7
libsource-highlight-common	3.1.9-4.3build1
libsource-highlight4t64:arm64	3.1.9-4.3build1
libsox-fmt-alsa:arm64	14.4.2+git20190427-4build4
libsox-fmt-base:arm64	14.4.2+git20190427-4build4
libsox3:arm64	14.4.2+git20190427-4build4
libsoxr0:arm64	0.1.3-4build3
libspa-0.2-bluetooth:arm64	1.0.5-1ubuntu3.2
libspa-0.2-modules:arm64	1.0.5-1ubuntu3.2
libspandsp2t64:arm64	0.0.6+dfsg-2.1build1
libspatialite8t64:arm64	5.1.0-3build1
libspectre1:arm64	0.2.12-1build2
libspeechd2:arm64	0.12.0~rc2-2build3
libspeex1:arm64	1.2.1-2ubuntu2.24.04.1
libspeexdsp1:arm64	1.2.1-1ubuntu3
libsphinxbase3t64:arm64	0.8+5prealpha+1-17build2
libsqlite3-0:arm64	3.45.1-1ubuntu2.6
libsratom-0-0:arm64	0.6.16-1build1
libsrt1.5-gnutls:arm64	1.5.3-1build2
libsrtp2-1:arm64	2.5.0-3build1
libss2:arm64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:arm64	0.10.6-2ubuntu0.4
libssh-gcrypt-4:arm64	0.10.6-2ubuntu0.4
libssl3t64:arm64	3.0.13-0ubuntu3.11
libsss-certmap0	2.9.4-1.1ubuntu6.6
libsss-idmap0	2.9.4-1.1ubuntu6.6
libsss-nss-idmap0	2.9.4-1.1ubuntu6.6
libstartup-notification0:arm64	0.12-6build3
libstdc++-13-dev:arm64	13.3.0-6ubuntu2~24.04.1
libstdc++6:arm64	14.2.0-4ubuntu2~24.04.1
libstemmer0d:arm64	2.2.0-4build1
libsuitesparseconfig7:arm64	1:7.6.1+dfsg-1build1
libsuperlu6:arm64	6.0.1+dfsg1-1build1
libsvtav1enc1d1:arm64	1.7.0+dfsg-2build1
libsynctex2:arm64	2023.20230311.66589-9build3
libsysmetrics1:arm64	1.7.3ubuntu0.24.04.3
libsystemd-shared:arm64	255.4-1ubuntu8.16
libsystemd0:arm64	255.4-1ubuntu8.16
libsz2:arm64	1.1.2-1build1
libtag1v5:arm64	1.13.1-1build1
libtag1v5-vanilla:arm64	1.13.1-1build1
libtalloc2:arm64	2.4.2-1build2
libtasn1-6:arm64	4.19.0-3ubuntu0.24.04.2
libtbb-dev:arm64	2021.11.0-2ubuntu2
libtbb12:arm64	2021.11.0-2ubuntu2
libtbbbind-2-5:arm64	2021.11.0-2ubuntu2
libtbbmalloc2:arm64	2021.11.0-2ubuntu2
libtcl8.6:arm64	8.6.14+dfsg-1build1
libtdb1:arm64	1.4.10-1build1
libteamdctl0:arm64	1.31-1build3
libtesseract5:arm64	5.3.4-1build5
libtevent0t64:arm64	0.16.1-2build1
libtext-iconv-perl:arm64	1.7-8build3
libthai-data	0.1.29-2build1
libthai0:arm64	0.1.29-2build1
libtheora0:arm64	1.1.1+dfsg.1-16.1build3
libtie-ixhash-perl	1.23-4
libtiff-dev:arm64	4.5.1+git230720-4ubuntu2.5
libtiff6:arm64	4.5.1+git230720-4ubuntu2.5
libtiffxx6:arm64	4.5.1+git230720-4ubuntu2.5
libtimedate-perl	2.3300-2
libtimezonemap-data	0.4.6-6ubuntu1
libtimezonemap1:arm64	0.4.6-6ubuntu1
libtinfo6:arm64	6.4+20240113-1ubuntu2.1
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64:arm64	1.3.4+ds-1.1build1
libtk8.6:arm64	8.6.14-1build1
libtool	2.4.7-7build1
libtotem-plparser-common	3.26.6-1build5
libtotem-plparser18:arm64	3.26.6-1build5
libtotem0:arm64	43.0-2ubuntu4
libtracker-sparql-3.0-0:arm64	3.7.1-1build1
libtry-tiny-perl	0.31-2
libtsan2:arm64	14.2.0-4ubuntu2~24.04.1
libtss2-esys-3.0.2-0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-fapi1t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-mu-4.0.1-0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-rc0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-sys1t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-tcti-cmd0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-tcti-device0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-tcti-libtpms0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-tcti-mssim0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-tcti-spi-helper0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-tcti-swtpm0t64:arm64	4.0.1-7.1ubuntu5.1
libtss2-tctildr0t64:arm64	4.0.1-7.1ubuntu5.1
libtwolame0:arm64	0.4.0-2build3
libu2f-udev	1.1.10-3build3
libubsan1:arm64	14.2.0-4ubuntu2~24.04.1
libuchardet0:arm64	0.0.8-1build1
libucx0:arm64	1.16.0+ds-5ubuntu1
libudev-dev:arm64	255.4-1ubuntu8.16
libudev1:arm64	255.4-1ubuntu8.16
libudfread0:arm64	1.1.2-1build1
libudisks2-0:arm64	2.10.1-6ubuntu1.3
libunibreak5:arm64	5.1-2build1
libunistring5:arm64	1.1-2build1.1
libunity-protocol-private0:arm64	7.1.4+19.04.20190319-6build4
libunity-scopes-json-def-desktop	7.1.4+19.04.20190319-6build4
libunity9:arm64	7.1.4+19.04.20190319-6build4
libuno-cppu3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-cppuhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-purpenvhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-sal3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-salhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.5
libunwind-dev:arm64	1.6.2-3build1.1
libunwind8:arm64	1.6.2-3build1.1
libupower-glib3:arm64	1.90.3-1
liburi-perl	5.27-1
liburiparser1:arm64	0.9.7+dfsg-2build1
libusb-1.0-0:arm64	2:1.0.27-1
libusbmuxd6:arm64	2.0.2-4build3
libutempter0:arm64	1.2.1-3build1
libuuid1:arm64	2.39.3-9ubuntu6.5
libuv1t64:arm64	1.48.0-1.1build1
libv4l-0t64:arm64	1.26.1-4build3
libv4lconvert0t64:arm64	1.26.1-4build3
libva-drm2:arm64	2.20.0-2ubuntu0.2
libva-x11-2:arm64	2.20.0-2ubuntu0.2
libva2:arm64	2.20.0-2ubuntu0.2
libvdpau1:arm64	1.5-2build1
libvidstab1.1:arm64	1.1.0-2build1
libvirt-daemon	10.0.0-2ubuntu8.14
libvirt-daemon-driver-qemu	10.0.0-2ubuntu8.14
libvirt0:arm64	10.0.0-2ubuntu8.14
libvisio-0.1-1:arm64	0.1.7-1build9
libvisual-0.4-0:arm64	0.4.2-2build1
libvncclient1:arm64	0.9.14+dfsg-1ubuntu0.2
libvo-aacenc0:arm64	0.1.3-2build1
libvo-amrwbenc0:arm64	0.1.3-2build1
libvolume-key1:arm64	0.3.12-7build2
libvorbis0a:arm64	1.3.7-1build3
libvorbisenc2:arm64	1.3.7-1build3
libvorbisfile3:arm64	1.3.7-1build3
libvpx9:arm64	1.14.0-1ubuntu2.3
libvte-2.91-0:arm64	0.76.0-1ubuntu0.1
libvte-2.91-common	0.76.0-1ubuntu0.1
libvtk9.1t64:arm64	9.1.0+really9.1.0+dfsg2-7.1build3
libvulkan-dev:arm64	1.3.275.0-1build1
libvulkan1:arm64	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9:arm64	2.10.0-2
libwavpack1:arm64	5.6.0-1build1
libwayland-bin	1.22.0-2.1build1
libwayland-client0:arm64	1.22.0-2.1build1
libwayland-cursor0:arm64	1.22.0-2.1build1
libwayland-dev:arm64	1.22.0-2.1build1
libwayland-egl1:arm64	1.22.0-2.1build1
libwayland-server0:arm64	1.22.0-2.1build1
libwbclient0:arm64	2:4.19.5+dfsg-4ubuntu9.6
libwebkit2gtk-4.1-0:arm64	2.52.3-0ubuntu0.24.04.1
libwebkitgtk-6.0-4:arm64	2.52.3-0ubuntu0.24.04.1
libwebp-dev:arm64	1.3.2-0.4build3
libwebp7:arm64	1.3.2-0.4build3
libwebpdecoder3:arm64	1.3.2-0.4build3
libwebpdemux2:arm64	1.3.2-0.4build3
libwebpmux3:arm64	1.3.2-0.4build3
libwebrtc-audio-processing1:arm64	0.3.1-0ubuntu6
libwhoopsie-preferences0	23build3
libwhoopsie0:arm64	0.2.77ubuntu0.1
libwildmidi2:arm64	0.4.3-1build3
libwinpr3-3:arm64	3.5.1+dfsg1-0ubuntu1.6
libwireplumber-0.4-0:arm64	0.4.17-1ubuntu4.1
libwmf-0.2-7:arm64	0.2.13-1.1build3
libwmf-0.2-7-gtk:arm64	0.2.13-1.1build3
libwmf0.2-7-gtk:arm64	0.2.13-1.1build3
libwmflite-0.2-7:arm64	0.2.13-1.1build3
libwnck-3-0:arm64	43.0-3build4
libwnck-3-common	43.0-3build4
libwpd-0.10-10:arm64	0.10.3-2build2
libwpg-0.3-3:arm64	0.3.4-3build1
libwps-0.4-4:arm64	0.4.14-2build1
libwrap0:arm64	7.6.q-33
libwww-perl	6.76-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libx11-6:arm64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-dev:arm64	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb-dev:arm64	2:1.8.7-1build1
libx11-xcb1:arm64	2:1.8.7-1build1
libx264-164:arm64	2:0.164.3108+git31e19f9-1
libx265-199:arm64	3.5-2build1
libxau-dev:arm64	1:1.0.9-1build6
libxau6:arm64	1:1.0.9-1build6
libxaw7:arm64	2:1.0.14-1build2
libxcb-damage0:arm64	1.15-1ubuntu2
libxcb-dri3-0:arm64	1.15-1ubuntu2
libxcb-glx0:arm64	1.15-1ubuntu2
libxcb-icccm4:arm64	0.4.1-1.1build3
libxcb-image0:arm64	0.4.0-2build1
libxcb-keysyms1:arm64	0.4.0-1build4
libxcb-present0:arm64	1.15-1ubuntu2
libxcb-randr0:arm64	1.15-1ubuntu2
libxcb-render-util0:arm64	0.3.9-1build4
libxcb-render0:arm64	1.15-1ubuntu2
libxcb-res0:arm64	1.15-1ubuntu2
libxcb-shape0:arm64	1.15-1ubuntu2
libxcb-shm0:arm64	1.15-1ubuntu2
libxcb-sync1:arm64	1.15-1ubuntu2
libxcb-util1:arm64	0.4.0-1build3
libxcb-xfixes0:arm64	1.15-1ubuntu2
libxcb-xinerama0:arm64	1.15-1ubuntu2
libxcb-xinput0:arm64	1.15-1ubuntu2
libxcb-xkb1:arm64	1.15-1ubuntu2
libxcb-xv0:arm64	1.15-1ubuntu2
libxcb1:arm64	1.15-1ubuntu2
libxcb1-dev:arm64	1.15-1ubuntu2
libxcomposite1:arm64	1:0.4.5-1build3
libxcursor1:arm64	1:1.2.1-1build1
libxcvt0:arm64	0.1.2-1build1
libxdamage1:arm64	1:1.1.6-1build1
libxdmcp-dev:arm64	1:1.1.3-0ubuntu6
libxdmcp6:arm64	1:1.1.3-0ubuntu6
libxerces-c3.2t64:arm64	3.2.4+debian-1.2ubuntu2
libxext6:arm64	2:1.3.4-1build2
libxfixes3:arm64	1:6.0.0-2build1
libxfont2:arm64	1:2.0.6-1build1
libxft2:arm64	2.3.6-1build1
libxi6:arm64	2:1.8.1-1build1
libxinerama1:arm64	2:1.1.4-3build1
libxkbcommon-x11-0:arm64	1.6.0-1build1
libxkbcommon0:arm64	1.6.0-1build1
libxkbfile1:arm64	1:1.1.0-1build4
libxkbregistry0:arm64	1.6.0-1build1
libxklavier16:arm64	5.4-5build2
libxml-parser-perl	2.47-1ubuntu0.24.04.1
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2:arm64	2.9.14+dfsg-1.3ubuntu3.8
libxml2-dev:arm64	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2:arm64	0.3.24-1~ubuntu0.24.04.1
libxmlsec1t64:arm64	1.2.39-5build2
libxmlsec1t64-nss:arm64	1.2.39-5build2
libxmu6:arm64	2:1.1.3-3build2
libxmuu1:arm64	2:1.1.3-3build2
libxnvctrl0:arm64	510.47.03-0ubuntu4.24.04.1
libxpm4:arm64	1:3.5.17-1build2
libxrandr2:arm64	2:1.5.2-2build1
libxrender1:arm64	1:0.9.10-1.1build1
libxres1:arm64	2:1.2.1-1build1
libxshmfence1:arm64	1.3-1build5
libxslt1.1:arm64	1.1.39-0exp1ubuntu0.24.04.3
libxss1:arm64	1:1.2.3-1build3
libxt6t64:arm64	1:1.2.1-1.2build1
libxtables12:arm64	1.8.10-3ubuntu2
libxtst6:arm64	2:1.2.3-1.1build1
libxv1:arm64	2:1.0.11-1.1build1
libxvidcore4:arm64	2:1.3.7-1build1
libxxf86dga1:arm64	2:1.1.5-1build1
libxxf86vm1:arm64	1:1.1.4-1build4
libxxhash0:arm64	0.8.2-2build1
libyajl2:arm64	2.1.0-5build1
libyaml-0-2:arm64	0.2.5-1build1
libyelp0:arm64	42.2-1ubuntu0.24.04.1
libzbar0t64:arm64	0.23.93-4build3
libzimg2:arm64	3.0.5+ds1-1build1
libzix-0-0:arm64	0.4.2-2build1
libzmq5:arm64	4.3.5-1build2
libzstd-dev:arm64	1.5.5+dfsg2-2build1.1
libzstd1:arm64	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:arm64	0.2.42-2
libzxing3:arm64	2.2.1-3
linux-base	4.5ubuntu9+24.04.2
linux-firmware	20240318.git3b128b60-0ubuntu2.27
linux-libc-dev:arm64	6.8.0-134.134
linux-sound-base	1.0.25+dfsg-0ubuntu7
localechooser-data	2.89ubuntu6
locales	2.39-0ubuntu8.7
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
lp-solve	5.5.2.5-2ubuntu0.1
lpr	1:2008.05.17.3+nmu1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
lsof	4.95.0-1build3
lto-disabled-list	47
m4	1.4.19-4build1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
media-player-info	24-3
media-types	10.1.0
mesa-libgallium:arm64	25.2.8-0ubuntu0.24.04.2
mesa-utils	9.0.0-2
mesa-utils-bin:arm64	9.0.0-2
mobile-broadband-provider-info	20230416-1
modemmanager	1.23.4-0ubuntu2
mount	2.39.3-9ubuntu6.5
mousetweaks	3.32.0-4build2
mscompress	0.4-10build1
mtd-utils	1:2.2.0-1ubuntu2
mutter-common	46.2-1ubuntu0.24.04.16
mutter-common-bin	46.2-1ubuntu0.24.04.16
mysql-common	5.8+1.1.0build1
nautilus	1:46.4-0ubuntu0.2
nautilus-data	1:46.4-0ubuntu0.2
nautilus-extension-gnome-terminal:arm64	3.52.0-1ubuntu2
nautilus-sendto	3.8.6-7build2
ncurses-base	6.4+20240113-1ubuntu2.1
ncurses-bin	6.4+20240113-1ubuntu2.1
ncurses-term	6.4+20240113-1ubuntu2.1
net-tools	2.10-0.1ubuntu4.4
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.1.2-8ubuntu1~24.04.2
netplan.io	1.1.2-8ubuntu1~24.04.2
network-manager	1.46.0-1ubuntu2.7
network-manager-config-connectivity-ubuntu	1.46.0-1ubuntu2.7
network-manager-gnome	1.34.0-1ubuntu3
network-manager-openvpn	1.10.2-4ubuntu0.2
network-manager-openvpn-gnome	1.10.2-4ubuntu0.2
network-manager-pptp	1.2.12-3build2
network-manager-pptp-gnome	1.2.12-3build2
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1ubuntu0.1
notify-osd	0.9.35+20.04.20191129-0ubuntu4
ntfs-3g	1:2022.10.3-1.2ubuntu3.1
numactl	2.0.18-1ubuntu0.24.04.1
nvidia-l4t-3d-core	39.2.1-20260806224157
nvidia-l4t-adaruntime	39.2.1-20260806224157
nvidia-l4t-apt-source	39.2.1-20260806224157
nvidia-l4t-bootloader	39.2.1-20260806224157
nvidia-l4t-bootloader-utils	39.2.1-20260806224157
nvidia-l4t-bsp	39.2.1-20260806224157
nvidia-l4t-camera	39.2.1-20260806224157
nvidia-l4t-configs	39.2.1-20260806224157
nvidia-l4t-core	39.2.1-20260806224157
nvidia-l4t-cuda	39.2.1-20260806224157
nvidia-l4t-cuda-nvgpu	39.2.1-20260806224157
nvidia-l4t-cuda-openrm	39.2.1-20260806224157
nvidia-l4t-cuda-utils	39.2.1-20260806224157
nvidia-l4t-display-kernel	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-extlinux	39.2.1-20260806224157
nvidia-l4t-firmware	39.2.1-20260806224157
nvidia-l4t-firmware-nvgpu	39.2.1-20260806224157
nvidia-l4t-firmware-openrm	39.2.1-20260806224157
nvidia-l4t-firstboot	39.2.1-20260806224157
nvidia-l4t-gbm	39.2.1-20260806224157
nvidia-l4t-graphics-demos	39.2.1-20260806224157
nvidia-l4t-init	39.2.1-20260806224157
nvidia-l4t-init-nvgpu	39.2.1-20260806224157
nvidia-l4t-init-openrm	39.2.1-20260806224157
nvidia-l4t-initrd	39.2.1-20260806224157
nvidia-l4t-jetson-io	39.2.1-20260806224157
nvidia-l4t-jetsonpower-gui-tools	39.2.1-20260806224157
nvidia-l4t-kernel	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-kernel-dtbs	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-kernel-headers	6.8.12-tegra-39.2.1-20260806224157
